epoch_ns	iso_time	masters	autoscaling	standby	last_scale	sts_desired	sts_ready	cluster_state	cluster_size	known_nodes	slots_ok	slots_fail	action
1787125817971107174	2026-08-19T07:50:17.972894476Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125823615373145	2026-08-19T07:50:23.617184724Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125829256348760	2026-08-19T07:50:29.258164558Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125834900666481	2026-08-19T07:50:34.902583588Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125840543991818	2026-08-19T07:50:40.545710507Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125846212449511	2026-08-19T07:50:46.214219623Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125851856137645	2026-08-19T07:50:51.857942036Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125857500156706	2026-08-19T07:50:57.501831751Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125863145038266	2026-08-19T07:51:03.146846282Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125868785269544	2026-08-19T07:51:08.787039400Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125874426437488	2026-08-19T07:51:14.428237663Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125880070454526	2026-08-19T07:51:20.072239047Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125885714599880	2026-08-19T07:51:25.716644549Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125891359460073	2026-08-19T07:51:31.361257996Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125897001963992	2026-08-19T07:51:37.003912633Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125902648793753	2026-08-19T07:51:42.650602547Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125908296425535	2026-08-19T07:51:48.298247022Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125913945674473	2026-08-19T07:51:53.947509025Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125919592264156	2026-08-19T07:51:59.594070737Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125925236690576	2026-08-19T07:52:05.238565453Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
